region,sc_duringchoice_amp_loc,sc_duringchoice_slope_last,sc_duringchoice_amp_slope,sc_duringchoice_slope_last_n,sc_duringchoice_move_shape,sc_duringchoice,sc_duringchoice_move_init,sc_duringchoice_integrator,sc_duringchoice_regtype,sc_duringstim_amp_slope,sc_duringstim,sc_duringstim0,sc_duringstim_move_init,sc_duringstim_integrator,sc_duringstim_regtype,sc_stim_regtype,amp_stim_s,amp_choice_s,amp_stim_se,amp_stim_se1,sigma_stim_s,sigma_stim_s_prime,stim_processor,stim_processor_loose,has_stim,has_choice,mixed_stim_choice,duringstim_label,duringchoice_label
PS,False,False,True,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
MOB,False,False,False,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
DN,False,True,True,False,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,3.7889828768066227,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
VCO,False,False,True,True,,0.5081161446115676,0,1,0.5,True,0.49447698927420497,0.49447698927420497,0,1,0.5,,4.339229131549121,4.2444140251078935,0.0,0.0,0.5055230107257951,0.5055230107257951,False,False,True,True,True,integrator,integrator
FL,False,False,False,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
NI,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
PR,True,True,True,True,1.0,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
MPO,True,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
DTN,False,False,True,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
GU,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
SSp-m,False,True,True,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
PC5,False,False,False,True,,1.0,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
PeF,False,False,True,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
VPLpc,False,False,False,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
CLA,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
